Ortschaftsname;PLZ4;Zusatzziffer;ZIP_ID;Gemeindename;BFS-Nr;Kantonskürzel;Adressenanteil;E;N;Sprache;Validity
St-Saphorin (Lavaux);1071;02;1061;Saint-Saphorin (Lavaux);5610;VD;100 %;2550530.000;1147409.000;fr;2008-07-01
Forel (Lavaux);1072;00;789;Forel (Lavaux);5604;VD;100 %;2548185.000;1154073.000;fr;2008-07-01
Savigny;1073;00;222;Savigny;5611;VD;100 %;2545082.000;1154720.000;fr;2008-07-01
Mollie-Margot;1073;02;239;Savigny;5611;VD;100 %;2546940.000;1156222.000;fr;2008-07-01
Ferlens VD;1076;00;248;Jorat-Mézières;5806;VD;100 %;2549996.000;1159858.000;fr;2008-07-01
Servion;1077;00;249;Servion;5799;VD;100 %;2549622.000;1158205.000;fr;2008-07-01
Essertes;1078;00;250;Oron;5805;VD;100 %;2550009.000;1156895.000;fr;2008-07-01
Les Cullayes;1080;00;240;Servion;5799;VD;99.619 %;2547538.000;1158244.000;fr;2008-07-01
Les Cullayes;1080;00;240;Forel (Lavaux);5604;VD;0.381 %;2547952.000;1157333.000;fr;2008-07-01
Montpreveyres;1081;00;241;Montpreveyres;5792;VD;100 %;2546360.000;1159076.000;fr;2008-07-01
Corcelles-le-Jorat;1082;00;242;Corcelles-le-Jorat;5785;VD;100 %;2546389.000;1161926.000;fr;2008-07-01
Mézières VD;1083;00;223;Jorat-Mézières;5806;VD;100 %;2548858.000;1160594.000;fr;2008-07-01
Carrouge VD;1084;00;244;Jorat-Mézières;5806;VD;99.825 %;2549016.000;1161560.000;fr;2008-07-01
Carrouge VD;1084;00;244;Vulliens;5803;VD;0.175 %;2550273.000;1161184.000;fr;2008-07-01
Vulliens;1085;00;245;Vulliens;5803;VD;99.701 %;2550541.000;1163652.000;fr;2008-07-01
Vulliens;1085;00;245;Rue;2097;FR;0.299 %;2551462.000;1166063.000;fr;2008-07-01
Ropraz;1088;00;243;Ropraz;5798;VD;100 %;2547514.000;1162508.000;fr;2008-07-01
La Croix (Lutry);1090;00;783;Lutry;5606;VD;99.843 %;2543276.000;1152003.000;fr;2008-07-01
La Croix (Lutry);1090;00;783;Savigny;5611;VD;0.157 %;2544555.000;1152138.000;fr;2008-07-01
Grandvaux;1091;00;784;Bourg-en-Lavaux;5613;VD;99.369 %;2544863.000;1150091.000;fr;2008-07-01
Grandvaux;1091;00;784;Forel (Lavaux);5604;VD;0.631 %;2546374.000;1151584.000;fr;2008-07-01
Aran;1091;01;785;Bourg-en-Lavaux;5613;VD;99.329 %;2544289.000;1150483.000;fr;2008-07-01
Aran;1091;01;785;Savigny;5611;VD;0.671 %;2544859.000;1152143.000;fr;2008-07-01
Chenaux;1091;03;6194;Bourg-en-Lavaux;5613;VD;100 %;2545513.000;1149540.000;fr;2008-07-01
Belmont-sur-Lausanne;1092;00;224;Belmont-sur-Lausanne;5581;VD;99.75 %;2541919.000;1152584.000;fr;2008-07-01
Belmont-sur-Lausanne;1092;00;224;Lutry;5606;VD;0.25 %;2542744.000;1152871.000;fr;2008-07-01
La Conversion;1093;00;225;Lutry;5606;VD;100 %;2542213.000;1151717.000;fr;2008-07-01
Paudex;1094;00;226;Paudex;5588;VD;100 %;2541238.000;1150949.000;fr;2008-07-01
Lutry;1095;00;227;Lutry;5606;VD;99.777 %;2542386.000;1150776.000;fr;2008-07-01
Lutry;1095;00;227;Bourg-en-Lavaux;5613;VD;0.167 %;2543830.000;1150278.000;fr;2008-07-01
Lutry;1095;00;227;Paudex;5588;VD;0.056 %;2541434.000;1151104.000;fr;2008-07-01
Cully;1096;00;228;Bourg-en-Lavaux;5613;VD;94.529 %;2545450.000;1148915.000;fr;2008-07-01
Cully;1096;00;228;Puidoux;5607;VD;5.471 %;2547463.000;1148392.000;fr;2008-07-01
Villette (Lavaux);1096;02;7949;Bourg-en-Lavaux;5613;VD;100 %;2543990.000;1149494.000;fr;2008-07-01
Riex;1097;00;229;Bourg-en-Lavaux;5613;VD;100 %;2546160.000;1149536.000;fr;2008-07-01
Epesses;1098;00;230;Bourg-en-Lavaux;5613;VD;95.735 %;2546918.000;1149196.000;fr;2008-07-01
Epesses;1098;00;230;Puidoux;5607;VD;4.265 %;2547642.000;1148560.000;fr;2008-07-01
Morges;1110;00;254;Morges;5642;VD;100 %;2527636.000;1151776.000;fr;2008-07-01
Echichens;1112;00;259;Echichens;5634;VD;100 %;2527850.000;1153395.000;fr;2008-07-01
St-Saphorin-sur-Morges;1113;00;267;Echichens;5634;VD;100 %;2527183.000;1155510.000;fr;2008-07-01
Colombier VD;1114;00;268;Echichens;5634;VD;100 %;2525950.000;1156588.000;fr;2008-07-01
Vullierens;1115;00;269;Vullierens;5654;VD;100 %;2526774.000;1158581.000;fr;2008-07-01
Cottens VD;1116;00;270;Hautemorges;5656;VD;100 %;2524558.000;1158352.000;fr;2008-07-01
Grancy;1117;00;271;Grancy;5485;VD;100 %;2525345.000;1160511.000;fr;2008-07-01
Bremblens;1121;00;273;Bremblens;5622;VD;100 %;2529334.000;1155359.000;fr;2008-07-01
Romanel-sur-Morges;1122;00;274;Romanel-sur-Morges;5645;VD;100 %;2528752.000;1156455.000;fr;2008-07-01
Aclens;1123;00;275;Aclens;5621;VD;100 %;2528963.000;1157769.000;fr;2008-07-01
Gollion;1124;00;276;Gollion;5484;VD;100 %;2528715.000;1159688.000;fr;2008-07-01
Monnaz;1125;00;263;Echichens;5634;VD;100 %;2526458.000;1153460.000;fr;2008-07-01
Vaux-sur-Morges;1126;00;264;Vaux-sur-Morges;5650;VD;100 %;2525213.000;1154282.000;fr;2008-07-01
Clarmont;1127;00;265;Clarmont;5629;VD;100 %;2524148.000;1155545.000;fr;2008-07-01
Reverolle;1128;00;266;Hautemorges;5656;VD;100 %;2523256.000;1154937.000;fr;2008-07-01
Tolochenaz;1131;00;262;Tolochenaz;5649;VD;100 %;2526191.000;1150646.000;fr;2008-07-01
Lully VD;1132;00;261;Lully (VD);5639;VD;100 %;2525146.000;1150937.000;fr;2008-07-01
Vufflens-le-Château;1134;00;279;Vufflens-le-Château;5653;VD;100 %;2525584.000;1153302.000;fr;2008-07-01
Chigny;1134;02;5853;Chigny;5628;VD;100 %;2526359.000;1152190.000;fr;2008-07-01
Denens;1135;00;280;Denens;5631;VD;100 %;2524516.000;1152347.000;fr;2008-07-01
Bussy-Chardonney;1136;00;281;Hautemorges;5656;VD;100 %;2523575.000;1153651.000;fr;2008-07-01
Sévery;1141;00;289;Hautemorges;5656;VD;100 %;2523387.000;1158709.000;fr;2008-07-01
Pampigny;1142;00;288;Hautemorges;5656;VD;100 %;2522491.000;1159272.000;fr;2008-07-01
Apples;1143;00;290;Hautemorges;5656;VD;100 %;2522746.000;1156291.000;fr;2008-07-01
Ballens;1144;00;284;Ballens;5423;VD;100 %;2518397.000;1156369.000;fr;2008-07-01
Bière;1145;00;291;Bière;5425;VD;99.314 %;2515335.000;1154460.000;fr;2008-07-01
Bière;1145;00;291;Saint-Livres;5435;VD;0.686 %;2517389.000;1153479.000;fr;2008-07-01
Mollens VD;1146;00;286;Mollens (VD);5431;VD;100 %;2517501.000;1158996.000;fr;2008-07-01
Montricher;1147;00;287;Montricher;5492;VD;100 %;2518648.000;1161534.000;fr;2008-07-01
L'Isle;1148;00;293;L'Isle;5486;VD;100 %;2521328.000;1163683.000;fr;2008-07-01
Mauraz;1148;02;5842;Mauraz;5488;VD;100 %;2522122.000;1162106.000;fr;2008-07-01
Villars-Bozon;1148;03;7449;L'Isle;5486;VD;100 %;2520977.000;1162214.000;fr;2008-07-01
Cuarnens;1148;04;556;Cuarnens;5479;VD;100 %;2523386.000;1164216.000;fr;2008-07-01
Mont-la-Ville;1148;05;569;Mont-la-Ville;5491;VD;100 %;2521107.000;1166576.000;fr;2008-07-01
La Praz;1148;06;568;La Praz;5758;VD;100 %;2522563.000;1168926.000;fr;2008-07-01
Chavannes-le-Veyron;1148;07;5841;Chavannes-le-Veyron;5475;VD;98.333 %;2524329.000;1162156.000;fr;2008-07-01
Chavannes-le-Veyron;1148;07;5841;La Chaux (Cossonay);5474;VD;1.667 %;2524922.000;1162465.000;fr;2008-07-01
Moiry VD;1148;08;558;Moiry;5490;VD;100 %;2524593.000;1166878.000;fr;2008-07-01
La Coudre;1148;09;8477;L'Isle;5486;VD;100 %;2520690.000;1165769.000;fr;2008-07-01
Berolle;1149;00;285;Berolle;5424;VD;99.574 %;2515554.000;1157044.000;fr;2008-07-01
Berolle;1149;00;285;Bière;5425;VD;0.426 %;2515180.000;1156270.000;fr;2008-07-01
St-Prex;1162;00;294;Saint-Prex;5646;VD;98.549 %;2524240.000;1148272.000;fr;2008-07-01
St-Prex;1162;00;294;Lully (VD);5639;VD;1.451 %;2525730.000;1149680.000;fr;2008-07-01
Etoy;1163;00;295;Etoy;5636;VD;100 %;2521588.000;1148633.000;fr;2008-07-01
Buchillon;1164;00;296;Buchillon;5623;VD;100 %;2521687.000;1147006.000;fr;2008-07-01
Allaman;1165;00;297;Allaman;5851;VD;100 %;2519802.000;1147080.000;fr;2008-07-01
Perroy;1166;00;298;Perroy;5860;VD;98.817 %;2517256.000;1146843.000;fr;2008-07-01
Perroy;1166;00;298;Féchy;5427;VD;1.183 %;2518466.000;1146803.000;fr;2008-07-01
Lussy-sur-Morges;1167;00;260;Lussy-sur-Morges;5640;VD;100 %;2524111.000;1150616.000;fr;2008-07-01
Villars-sous-Yens;1168;00;283;Villars-sous-Yens;5652;VD;100 %;2522568.000;1151525.000;fr;2008-07-01
Yens;1169;00;282;Yens;5655;VD;100 %;2521792.000;1152617.000;fr;2008-07-01
Aubonne;1170;00;299;Aubonne;5422;VD;98.381 %;2519468.000;1149667.000;fr;2008-07-01
Aubonne;1170;00;299;Lavigny;5637;VD;1.619 %;2520602.000;1149082.000;fr;2008-07-01
Bougy-Villars;1172;00;303;Bougy-Villars;5426;VD;96.591 %;2516779.000;1148213.000;fr;2008-07-01
Bougy-Villars;1172;00;303;Aubonne;5422;VD;3.409 %;2516413.000;1148794.000;fr;2008-07-01
Féchy;1173;00;304;Féchy;5427;VD;100 %;2518058.000;1148262.000;fr;2008-07-01
Montherod;1174;00;305;Aubonne;5422;VD;100 %;2517589.000;1150376.000;fr;2008-07-01
Pizy;1174;02;5837;Aubonne;5422;VD;100 %;2516592.000;1149508.000;fr;2008-07-01
Lavigny;1175;00;306;Lavigny;5637;VD;100 %;2520603.000;1150570.000;fr;2008-07-01
St-Livres;1176;00;307;Saint-Livres;5435;VD;100 %;2519284.000;1151284.000;fr;2008-07-01
Rolle;1180;00;309;Rolle;5861;VD;89.637 %;2515239.000;1145773.000;fr;2008-07-01
Rolle;1180;00;309;Essertines-sur-Rolle;5856;VD;7.129 %;2514091.000;1147399.000;fr;2008-07-01
Rolle;1180;00;309;Gilly;5857;VD;3.234 %;2513939.000;1145094.000;fr;2008-07-01
Tartegnin;1180;02;5874;Tartegnin;5862;VD;92.308 %;2513738.000;1146767.000;fr;2008-07-01
Tartegnin;1180;02;5874;Essertines-sur-Rolle;5856;VD;7.692 %;2513906.000;1146744.000;fr;2008-07-01
Gilly;1182;00;312;Gilly;5857;VD;100 %;2512343.000;1145814.000;fr;2008-07-01
Bursins;1183;00;313;Bursins;5853;VD;96.685 %;2511684.000;1145202.000;fr;2008-07-01
Bursins;1183;00;313;Gilly;5857;VD;3.315 %;2511950.000;1145264.000;fr;2008-07-01
Luins;1184;00;315;Luins;5858;VD;100 %;2510304.000;1144169.000;fr;2008-07-01
Vinzel;1184;01;314;Vinzel;5863;VD;100 %;2511011.000;1144683.000;fr;2008-07-01
Mont-sur-Rolle;1185;00;316;Mont-sur-Rolle;5859;VD;99.895 %;2515587.000;1146981.000;fr;2008-07-01
Mont-sur-Rolle;1185;00;316;Essertines-sur-Rolle;5856;VD;0.105 %;2514416.000;1146475.000;fr;2008-07-01
Essertines-sur-Rolle;1186;00;317;Essertines-sur-Rolle;5856;VD;98.134 %;2513884.000;1149513.000;fr;2008-07-01
Essertines-sur-Rolle;1186;00;317;Gilly;5857;VD;1.866 %;2512554.000;1148003.000;fr;2008-07-01
St-Oyens;1187;00;318;Saint-Oyens;5436;VD;100 %;2513081.000;1150243.000;fr;2008-07-01
Gimel;1188;00;320;Gimel;5428;VD;100 %;2513138.000;1151758.000;fr;2008-07-01
St-George;1188;02;495;Saint-George;5434;VD;100 %;2509774.000;1152081.000;fr;2008-07-01
Saubraz;1189;00;319;Saubraz;5437;VD;100 %;2514917.000;1152051.000;fr;2008-07-01
Dully;1195;02;5873;Dully;5855;VD;100 %;2512400.000;1142807.000;fr;2008-07-01
Bursinel;1195;03;6177;Bursinel;5852;VD;99.119 %;2513051.000;1143819.000;fr;2008-07-01
Bursinel;1195;03;6177;Gilly;5857;VD;0.881 %;2513230.000;1144624.000;fr;2008-07-01
Gland;1196;00;323;Gland;5721;VD;100 %;2510180.000;1141762.000;fr;2008-07-01
Prangins;1197;00;324;Prangins;5725;VD;100 %;2508443.000;1139022.000;fr;2008-07-01
Genève;1201;00;367;Genève;6621;GE;100 %;2500082.000;1118421.000;fr;2008-07-01
