Ortschaftsname;PLZ4;Zusatzziffer;ZIP_ID;Gemeindename;BFS-Nr;Kantonskürzel;Adressenanteil;E;N;Sprache;Validity
Pratteln;4133;00;2536;Frenkendorf;2824;BL;0.13 %;2620363.601;1262027.707;de;2008-07-01
Münchenstein;4142;00;2541;Münchenstein;2769;BL;99.897 %;2612975.000;1263182.000;de;2008-07-01
Münchenstein;4142;00;2541;Muttenz;2770;BL;0.103 %;2613959.000;1263778.000;de;2008-07-01
Dornach;4143;00;2545;Dornach;2473;SO;100 %;2613431.000;1258846.000;de;2008-07-01
Arlesheim;4144;00;2549;Arlesheim;2763;BL;99.968 %;2613543.000;1260587.000;de;2008-07-01
Arlesheim;4144;00;2549;Reinach (BL);2773;BL;0.032 %;2612677.550;1261292.401;de;2008-07-01
Gempen;4145;00;2551;Gempen;2474;SO;100 %;2616726.000;1258275.000;de;2008-07-01
Hochwald;4146;00;2552;Hochwald;2475;SO;100 %;2615457.000;1256034.000;de;2008-07-01
Aesch BL;4147;00;2553;Aesch (BL);2761;BL;99.268 %;2611884.000;1257822.000;de;2008-07-01
Aesch BL;4147;00;2553;Pfeffingen;2772;BL;0.732 %;2609682.000;1257124.000;de;2008-07-01
Pfeffingen;4148;00;2555;Pfeffingen;2772;BL;100 %;2611416.000;1256508.000;de;2008-07-01
Reinach BL;4153;00;2556;Reinach (BL);2773;BL;99.458 %;2611679.000;1260858.000;de;2008-07-01
Reinach BL;4153;00;2556;Therwil;2775;BL;0.436 %;2609856.103;1259736.722;de;2008-07-01
Reinach BL;4153;00;2556;Aesch (BL);2761;BL;0.075 %;2611741.000;1259190.000;de;2008-07-01
Reinach BL;4153;00;2556;Münchenstein;2769;BL;0.03 %;2612738.000;1261623.000;de;2008-07-01
Duggingen;4202;00;2559;Duggingen;2785;BL;99.898 %;2612662.000;1255759.000;de;2008-07-01
Duggingen;4202;00;2559;Aesch (BL);2761;BL;0.102 %;2612454.000;1257459.000;de;2008-07-01
Grellingen;4203;00;2560;Grellingen;2786;BL;100 %;2611191.000;1254458.000;de;2008-07-01
Himmelried;4204;00;2579;Himmelried;2618;SO;97.483 %;2611583.000;1252356.000;de;2008-07-01
Himmelried;4204;00;2579;Seewen;2480;SO;2.013 %;2613368.000;1251942.000;de;2008-07-01
Himmelried;4204;00;2579;Nunningen;2621;SO;0.503 %;2612045.000;1251649.000;de;2008-07-01
Seewen SO;4206;00;2562;Seewen;2480;SO;99.084 %;2616600.000;1253839.000;de;2008-07-01
Seewen SO;4206;00;2562;Himmelried;2618;SO;0.916 %;2613266.000;1253299.000;de;2008-07-01
Bretzwil;4207;00;2563;Bretzwil;2883;BL;100 %;2616037.000;1249770.000;de;2008-07-01
Nunningen;4208;00;2564;Nunningen;2621;SO;100 %;2613605.000;1249357.000;de;2008-07-01
Zwingen;4222;00;2565;Zwingen;2793;BL;100 %;2607050.000;1254053.000;de;2008-07-01
Blauen;4223;00;2580;Blauen;2781;BL;100 %;2606065.000;1255452.000;de;2008-07-01
Nenzlingen;4224;00;2581;Nenzlingen;2789;BL;100 %;2609230.000;1255169.000;de;2008-07-01
Brislach;4225;00;2567;Brislach;2782;BL;100 %;2607809.000;1252096.000;de;2008-07-01
Breitenbach;4226;00;2568;Breitenbach;2613;SO;100 %;2608194.000;1250654.000;de;2008-07-01
Büsserach;4227;00;2570;Büsserach;2614;SO;100 %;2607812.000;1249212.000;de;2008-07-01
Erschwil;4228;00;2571;Erschwil;2615;SO;100 %;2607779.000;1246983.000;de;2008-07-01
Beinwil SO;4229;00;2582;Beinwil (SO);2612;SO;94.068 %;2612005.000;1245486.000;de;2008-07-01
Beinwil SO;4229;00;2582;Lauwil;2889;BL;3.107 %;2615966.000;1246718.000;de;2008-07-01
Beinwil SO;4229;00;2582;Mümliswil-Ramiswil;2428;SO;1.977 %;2615610.000;1245912.000;de;2008-07-01
Beinwil SO;4229;00;2582;Meltingen;2620;SO;0.847 %;2611505.000;1246748.000;de;2008-07-01
Fehren;4232;00;2584;Fehren;2616;SO;96.216 %;2610645.000;1249490.000;de;2008-07-01
Fehren;4232;00;2584;Breitenbach;2613;SO;3.784 %;2610200.000;1250585.000;de;2008-07-01
Meltingen;4233;00;2585;Meltingen;2620;SO;97.82 %;2611456.000;1248495.000;de;2008-07-01
Meltingen;4233;00;2585;Erschwil;2615;SO;1.907 %;2609710.000;1247971.000;de;2008-07-01
Meltingen;4233;00;2585;Zullwil;2622;SO;0.272 %;2612136.922;1248332.453;de;2008-07-01
Zullwil;4234;00;2586;Zullwil;2622;SO;100 %;2612253.000;1248936.000;de;2008-07-01
Laufen;4242;00;2572;Laufen;2787;BL;99.412 %;2604700.000;1252191.000;de;2008-07-01
Laufen;4242;00;2572;Brislach;2782;BL;0.546 %;2606702.230;1251490.493;de;2008-07-01
Laufen;4242;00;2572;Zwingen;2793;BL;0.042 %;2605552.077;1252782.054;de;2008-07-01
Dittingen;4243;00;2574;Dittingen;2784;BL;100 %;2604690.000;1254098.000;de;2008-07-01
Röschenz;4244;00;2575;Röschenz;2791;BL;100 %;2602812.000;1252721.000;de;2008-07-01
Kleinlützel;4245;00;2577;Kleinlützel;2619;SO;99.688 %;2598421.000;1252616.000;de;2008-07-01
Kleinlützel;4245;00;2577;Roggenburg;2790;BL;0.312 %;2595695.000;1253366.000;de;2008-07-01
Wahlen b. Laufen;4246;00;2587;Wahlen;2792;BL;99.105 %;2605792.000;1250068.000;de;2008-07-01
Wahlen b. Laufen;4246;00;2587;Laufen;2787;BL;0.895 %;2605766.000;1251040.000;de;2008-07-01
Grindel;4247;00;2588;Grindel;2617;SO;100 %;2604900.000;1247853.000;de;2008-07-01
Bärschwil;4252;00;2589;Bärschwil;2611;SO;98.331 %;2602521.000;1248382.000;de;2008-07-01
Bärschwil;4252;00;2589;Laufen;2787;BL;1.669 %;2603169.000;1249311.000;de;2008-07-01
Liesberg;4253;00;2592;Liesberg;2788;BL;95.904 %;2599102.000;1249552.000;de;2008-07-01
Liesberg;4253;00;2592;Bärschwil;2611;SO;4.096 %;2600416.000;1250052.000;de;2008-07-01
Liesberg Dorf;4254;00;2594;Liesberg;2788;BL;100 %;2599422.000;1250319.000;de;2008-07-01
Augst BL;4302;00;2595;Augst;2822;BL;99.606 %;2621048.000;1264852.000;de;2008-07-01
Augst BL;4302;00;2595;Pratteln;2831;BL;0.394 %;2620701.000;1264905.000;de;2008-07-01
Kaiseraugst;4303;00;2596;Kaiseraugst;4252;AG;99.363 %;2621812.000;1265281.000;de;2008-07-01
Kaiseraugst;4303;00;2596;Giebenach;2826;BL;0.283 %;2622262.000;1264480.000;de;2008-07-01
Kaiseraugst;4303;00;2596;Rheinfelden;4258;AG;0.283 %;2624428.000;1265873.000;de;2008-07-01
Kaiseraugst;4303;00;2596;Augst;2822;BL;0.071 %;2621500.000;1265071.000;de;2008-07-01
Giebenach;4304;00;2599;Giebenach;2826;BL;97.642 %;2622957.000;1263602.000;de;2008-07-01
Giebenach;4304;00;2599;Olsberg;4257;AG;2.358 %;2623922.000;1263965.000;de;2008-07-01
Olsberg;4305;00;2600;Olsberg;4257;AG;96.393 %;2625992.000;1263525.000;de;2008-07-01
Olsberg;4305;00;2600;Arisdorf;2821;BL;2.951 %;2626381.432;1263108.427;de;2008-07-01
Olsberg;4305;00;2600;Magden;4253;AG;0.656 %;2626863.126;1263792.670;de;2008-07-01
Rheinfelden;4310;00;2601;Rheinfelden;4258;AG;100 %;2626617.000;1266833.000;de;2008-07-01
Magden;4312;00;2604;Magden;4253;AG;100 %;2628180.000;1264186.000;de;2008-07-01
Möhlin;4313;00;2605;Möhlin;4254;AG;96.422 %;2630419.000;1267917.000;de;2008-07-01
Möhlin;4313;00;2605;Rheinfelden;4258;AG;3.578 %;2629179.000;1268569.000;de;2008-07-01
Zeiningen;4314;00;2607;Zeiningen;4263;AG;100 %;2632648.000;1265855.000;de;2008-07-01
Zuzgen;4315;00;2608;Zuzgen;4264;AG;98.068 %;2634673.000;1263986.000;de;2008-07-01
Zuzgen;4315;00;2608;Zeiningen;4263;AG;1.932 %;2633863.000;1264601.000;de;2008-07-01
Hellikon;4316;00;2609;Hellikon;4251;AG;99.065 %;2636467.000;1262186.000;de;2008-07-01
Hellikon;4316;00;2609;Hemmiken;2848;BL;0.935 %;2634452.851;1261328.444;de;2008-07-01
Wegenstetten;4317;00;2610;Wegenstetten;4262;AG;100 %;2637123.000;1260876.000;de;2008-07-01
Mumpf;4322;00;2611;Mumpf;4255;AG;100 %;2635889.000;1266350.000;de;2008-07-01
Wallbach;4323;00;2613;Wallbach;4261;AG;99.469 %;2634913.000;1267733.000;de;2008-07-01
Wallbach;4323;00;2613;Zeiningen;4263;AG;0.531 %;2634384.000;1267202.000;de;2008-07-01
Obermumpf;4324;00;2614;Obermumpf;4256;AG;100 %;2637389.000;1264664.000;de;2008-07-01
Schupfart;4325;00;2615;Schupfart;4259;AG;100 %;2639633.000;1262756.000;de;2008-07-01
Stein AG;4332;00;2616;Stein (AG);4260;AG;100 %;2638728.000;1266013.000;de;2008-07-01
Münchwilen AG;4333;00;2618;Münchwilen (AG);4172;AG;100 %;2639599.000;1265493.000;de;2008-07-01
Sisseln AG;4334;00;2619;Sisseln;4177;AG;100 %;2641577.000;1266996.000;de;2008-07-01
Frenkendorf;4402;00;2639;Frenkendorf;2824;BL;99.904 %;2620698.000;1261484.000;de;2008-07-01
Frenkendorf;4402;00;2639;Pratteln;2831;BL;0.096 %;2619258.000;1261485.000;de;2008-07-01
Liestal;4410;00;2640;Liestal;2829;BL;99.778 %;2622318.000;1259244.000;de;2008-07-01
Liestal;4410;00;2640;Bubendorf;2823;BL;0.222 %;2622576.000;1257285.000;de;2008-07-01
Seltisberg;4411;00;2644;Seltisberg;2833;BL;100 %;2621133.000;1256753.000;de;2008-07-01
Nuglar;4412;00;2645;Nuglar-St. Pantaleon;2478;SO;98.345 %;2619176.000;1257799.000;de;2008-07-01
Nuglar;4412;00;2645;Seltisberg;2833;BL;1.655 %;2619841.000;1256917.000;de;2008-07-01
Büren SO;4413;00;2646;Büren (SO);2472;SO;100 %;2617599.000;1255455.000;de;2008-07-01
Füllinsdorf;4414;00;2647;Füllinsdorf;2825;BL;100 %;2621915.000;1261768.000;de;2008-07-01
Lausen;4415;00;2648;Lausen;2828;BL;99.957 %;2624227.000;1258086.000;de;2008-07-01
Lausen;4415;00;2648;Liestal;2829;BL;0.043 %;2623586.927;1258407.772;de;2008-07-01
Bubendorf;4416;00;2650;Bubendorf;2823;BL;100 %;2622603.000;1255560.000;de;2008-07-01
Ziefen;4417;00;2651;Ziefen;2834;BL;100 %;2620186.000;1253447.000;de;2008-07-01
Reigoldswil;4418;00;2652;Reigoldswil;2893;BL;98.382 %;2619005.000;1249705.000;de;2008-07-01
Reigoldswil;4418;00;2652;Waldenburg;2895;BL;1.011 %;2619848.000;1247139.000;de;2008-07-01
Reigoldswil;4418;00;2652;Lauwil;2889;BL;0.404 %;2618642.000;1247274.000;de;2008-07-01
Reigoldswil;4418;00;2652;Mümliswil-Ramiswil;2428;SO;0.202 %;2619919.000;1246712.000;de;2008-07-01
Lupsingen;4419;00;2653;Lupsingen;2830;BL;100 %;2619180.000;1255140.000;de;2008-07-01
St. Pantaleon;4421;00;2654;Nuglar-St. Pantaleon;2478;SO;100 %;2619001.000;1256720.000;de;2008-07-01
Arisdorf;4422;00;2655;Arisdorf;2821;BL;98.75 %;2624632.000;1262281.000;de;2008-07-01
Arisdorf;4422;00;2655;Liestal;2829;BL;1.25 %;2623363.000;1260913.000;de;2008-07-01
Hersberg;4423;00;2656;Hersberg;2827;BL;100 %;2625988.000;1260281.000;de;2008-07-01
Arboldswil;4424;00;2658;Arboldswil;2881;BL;100 %;2621017.000;1251635.000;de;2008-07-01
Titterten;4425;00;2659;Titterten;2894;BL;99.73 %;2620961.000;1250196.000;de;2008-07-01
Titterten;4425;00;2659;Arboldswil;2881;BL;0.27 %;2619930.000;1251169.000;de;2008-07-01
Lauwil;4426;00;2660;Lauwil;2889;BL;100 %;2617889.000;1248718.000;de;2008-07-01
Bennwil;4431;00;2661;Bennwil;2882;BL;99.798 %;2625842.000;1250386.000;de;2008-07-01
Bennwil;4431;00;2661;Niederdorf;2891;BL;0.202 %;2624854.000;1250159.000;de;2008-07-01
Lampenberg;4432;00;2662;Lampenberg;2887;BL;100 %;2624166.000;1252851.000;de;2008-07-01
Ramlinsburg;4433;00;2664;Ramlinsburg;2832;BL;100 %;2624566.000;1255464.000;de;2008-07-01
Hölstein;4434;00;2665;Hölstein;2886;BL;99.918 %;2625077.000;1252549.000;de;2008-07-01
Hölstein;4434;00;2665;Bennwil;2882;BL;0.082 %;2625246.000;1251016.000;de;2008-07-01
Niederdorf;4435;00;2667;Niederdorf;2891;BL;96.963 %;2623690.000;1250765.000;de;2008-07-01
Niederdorf;4435;00;2667;Oberdorf (BL);2892;BL;3.037 %;2623128.000;1250251.000;de;2008-07-01
Oberdorf BL;4436;00;2669;Oberdorf (BL);2892;BL;99.601 %;2623648.000;1249209.000;de;2008-07-01
Oberdorf BL;4436;00;2669;Niederdorf;2891;BL;0.399 %;2624744.000;1250702.000;de;2008-07-01
Liedertswil;4436;02;5969;Liedertswil;2890;BL;92.537 %;2621146.000;1248977.000;de;2008-07-01
Liedertswil;4436;02;5969;Oberdorf (BL);2892;BL;7.463 %;2622331.000;1249697.000;de;2008-07-01
Waldenburg;4437;00;2670;Waldenburg;2895;BL;100 %;2623298.000;1247872.000;de;2008-07-01
Langenbruck;4438;00;2672;Langenbruck;2888;BL;96.13 %;2624969.000;1244429.000;de;2008-07-01
Langenbruck;4438;00;2672;Hägendorf;2579;SO;2.247 %;2627005.000;1243757.000;de;2008-07-01
Langenbruck;4438;00;2672;Waldenburg;2895;BL;0.999 %;2622008.292;1246594.390;de;2008-07-01
Langenbruck;4438;00;2672;Holderbank (SO);2425;SO;0.624 %;2624342.000;1243522.000;de;2008-07-01
Thürnen;4441;00;2673;Thürnen;2864;BL;100 %;2629413.000;1256179.000;de;2008-07-01
Diepflingen;4442;00;2674;Diepflingen;2845;BL;99.726 %;2630140.000;1255179.000;de;2008-07-01
Diepflingen;4442;00;2674;Wittinsburg;2867;BL;0.274 %;2630497.941;1254275.637;de;2008-07-01
Wittinsburg;4443;00;2675;Wittinsburg;2867;BL;97.059 %;2630377.000;1252722.000;de;2008-07-01
Wittinsburg;4443;00;2675;Tenniken;2863;BL;2.941 %;2629423.000;1252906.000;de;2008-07-01
Rümlingen;4444;00;2676;Rümlingen;2859;BL;85.89 %;2630954.000;1252749.000;de;2008-07-01
Rümlingen;4444;00;2676;Gelterkinden;2846;BL;7.669 %;2631203.000;1254295.000;de;2008-07-01
Rümlingen;4444;00;2676;Wittinsburg;2867;BL;5.521 %;2630893.000;1253615.000;de;2008-07-01
Rümlingen;4444;00;2676;Buckten;2843;BL;0.92 %;2630792.000;1252196.000;de;2008-07-01
Häfelfingen;4445;00;2678;Häfelfingen;2847;BL;98.729 %;2632184.000;1251695.000;de;2008-07-01
Häfelfingen;4445;00;2678;Rünenberg;2860;BL;0.847 %;2633253.000;1252034.000;de;2008-07-01
Häfelfingen;4445;00;2678;Buckten;2843;BL;0.424 %;2631031.000;1252131.000;de;2008-07-01
Buckten;4446;00;2679;Buckten;2843;BL;98.977 %;2630590.000;1251059.000;de;2008-07-01
Buckten;4446;00;2679;Läufelfingen;2852;BL;1.023 %;2630261.175;1250316.990;de;2008-07-01
Känerkinden;4447;00;2681;Känerkinden;2850;BL;94.262 %;2629994.000;1251333.000;de;2008-07-01
Känerkinden;4447;00;2681;Buckten;2843;BL;3.825 %;2630239.000;1251746.000;de;2008-07-01
Känerkinden;4447;00;2681;Diegten;2884;BL;1.913 %;2629253.000;1250955.000;de;2008-07-01
Läufelfingen;4448;00;2682;Läufelfingen;2852;BL;93.189 %;2631508.000;1249425.000;de;2008-07-01
Läufelfingen;4448;00;2682;Diegten;2884;BL;4.231 %;2629476.000;1249841.000;de;2008-07-01
Läufelfingen;4448;00;2682;Häfelfingen;2847;BL;2.58 %;2632356.000;1250809.000;de;2008-07-01
Sissach;4450;00;2683;Sissach;2861;BL;99.41 %;2628038.000;1257282.000;de;2008-07-01
Sissach;4450;00;2683;Itingen;2849;BL;0.406 %;2626504.000;1258116.000;de;2008-07-01
Sissach;4450;00;2683;Thürnen;2864;BL;0.148 %;2628433.000;1255955.000;de;2008-07-01
Sissach;4450;00;2683;Böckten;2842;BL;0.037 %;2629177.000;1257202.000;de;2008-07-01
Wintersingen;4451;00;2686;Wintersingen;2866;BL;99.802 %;2629175.000;1260538.000;de;2008-07-01
Wintersingen;4451;00;2686;Maisprach;2853;BL;0.198 %;2629941.000;1261925.000;de;2008-07-01
Itingen;4452;00;2687;Itingen;2849;BL;100 %;2626179.000;1257499.000;de;2008-07-01
Nusshof;4453;00;2688;Nusshof;2854;BL;100 %;2627611.000;1260203.000;de;2008-07-01
Zunzgen;4455;00;2689;Zunzgen;2869;BL;100 %;2627680.000;1255795.000;de;2008-07-01
Tenniken;4456;00;2690;Tenniken;2863;BL;98.211 %;2628179.000;1254123.000;de;2008-07-01
Tenniken;4456;00;2690;Diegten;2884;BL;1.789 %;2626761.000;1252740.000;de;2008-07-01
Diegten;4457;00;2691;Diegten;2884;BL;99.621 %;2628053.000;1251092.000;de;2008-07-01
Diegten;4457;00;2691;Bennwil;2882;BL;0.284 %;2627063.000;1250031.000;de;2008-07-01
Diegten;4457;00;2691;Hölstein;2886;BL;0.095 %;2626473.000;1251579.000;de;2008-07-01
Eptingen;4458;00;2692;Eptingen;2885;BL;99.542 %;2628606.000;1248182.000;de;2008-07-01
Eptingen;4458;00;2692;Läufelfingen;2852;BL;0.458 %;2630699.819;1247464.023;de;2008-07-01
Gelterkinden;4460;00;2693;Gelterkinden;2846;BL;99.927 %;2631383.000;1257159.000;de;2008-07-01
Gelterkinden;4460;00;2693;Ormalingen;2856;BL;0.073 %;2632229.827;1257615.665;de;2008-07-01
Böckten;4461;00;2697;Böckten;2842;BL;100 %;2629993.000;1257185.000;de;2008-07-01
Rickenbach BL;4462;00;2700;Rickenbach (BL);2857;BL;97.201 %;2631100.000;1259378.000;de;2008-07-01
Rickenbach BL;4462;00;2700;Buus;2844;BL;2.799 %;2631595.000;1260086.000;de;2008-07-01
Buus;4463;00;2701;Buus;2844;BL;100 %;2632052.000;1261782.000;de;2008-07-01
Maisprach;4464;00;2702;Maisprach;2853;BL;100 %;2630659.000;1263850.000;de;2008-07-01
Hemmiken;4465;00;2698;Hemmiken;2848;BL;96 %;2634111.000;1259815.000;de;2008-07-01
Hemmiken;4465;00;2698;Hellikon;4251;AG;3.636 %;2635111.000;1260453.000;de;2008-07-01
Hemmiken;4465;00;2698;Ormalingen;2856;BL;0.364 %;2634032.000;1258873.000;de;2008-07-01
Ormalingen;4466;00;2703;Ormalingen;2856;BL;99.825 %;2632858.000;1257896.000;de;2008-07-01
Ormalingen;4466;00;2703;Hemmiken;2848;BL;0.175 %;2632730.000;1260258.000;de;2008-07-01
Rothenfluh;4467;00;2704;Rothenfluh;2858;BL;100 %;2635877.000;1256941.000;de;2008-07-01
Kienberg;4468;00;2705;Kienberg;2492;SO;100 %;2639820.000;1254554.000;de;2008-07-01
Anwil;4469;00;2699;Anwil;2841;BL;100 %;2637786.000;1255730.000;de;2008-07-01
Tecknau;4492;00;2706;Tecknau;2862;BL;100 %;2633584.000;1255576.000;de;2008-07-01
Wenslingen;4493;00;2708;Wenslingen;2865;BL;99.793 %;2635384.000;1254567.000;de;2008-07-01
Wenslingen;4493;00;2708;Kilchberg (BL);2851;BL;0.207 %;2635324.000;1252906.000;de;2008-07-01
Oltingen;4494;00;2709;Oltingen;2855;BL;100 %;2637402.000;1253693.000;de;2008-07-01
Zeglingen;4495;00;2710;Zeglingen;2868;BL;99.772 %;2635342.000;1251906.000;de;2008-07-01
Zeglingen;4495;00;2710;Wenslingen;2865;BL;0.228 %;2635710.000;1252780.000;de;2008-07-01
Kilchberg BL;4496;00;2711;Kilchberg (BL);2851;BL;100 %;2634697.000;1252900.000;de;2008-07-01
Rünenberg;4497;00;2712;Rünenberg;2860;BL;100 %;2633497.000;1253739.000;de;2008-07-01
Solothurn;4500;00;2713;Solothurn;2601;SO;93.555 %;2607094.000;1228787.000;de;2008-07-01
Solothurn;4500;00;2713;Biberist;2513;SO;3.655 %;2607946.000;1227573.000;de;2008-07-01
Solothurn;4500;00;2713;Rüttenen;2555;SO;2.482 %;2607279.000;1229891.000;de;2008-07-01
Solothurn;4500;00;2713;Bellach;2542;SO;0.269 %;2605436.000;1227482.000;de;2008-07-01
Solothurn;4500;00;2713;Zuchwil;2534;SO;0.038 %;2608187.000;1227813.000;de;2008-07-01
Bellach;4512;00;2736;Bellach;2542;SO;99.574 %;2604588.000;1229198.000;de;2008-07-01
Bellach;4512;00;2736;Lommiswil;2551;SO;0.373 %;2603778.000;1229719.000;de;2008-07-01
Bellach;4512;00;2736;Selzach;2556;SO;0.053 %;2602907.000;1228590.000;de;2008-07-01
Langendorf;4513;00;2737;Langendorf;2550;SO;100 %;2605707.000;1230145.000;de;2008-07-01
Lommiswil;4514;00;2738;Lommiswil;2551;SO;100 %;2602441.000;1230443.000;de;2008-07-01
Oberdorf SO;4515;00;2739;Oberdorf (SO);2553;SO;100 %;2604927.000;1231060.000;de;2008-07-01
Weissenstein b. Solothurn;4515;01;2728;Oberdorf (SO);2553;SO;100 %;2604659.000;1233206.000;de;2008-07-01
Rüttenen;4522;00;2740;Rüttenen;2555;SO;97.059 %;2606894.000;1231274.000;de;2008-07-01
Rüttenen;4522;00;2740;Oberdorf (SO);2553;SO;2.353 %;2606343.000;1231241.000;de;2008-07-01
Rüttenen;4522;00;2740;Langendorf;2550;SO;0.588 %;2606601.000;1230854.000;de;2008-07-01
Niederwil SO;4523;00;2730;Riedholz;2554;SO;100 %;2610180.000;1233298.000;de;2008-07-01
Günsberg;4524;00;2741;Günsberg;2547;SO;100 %;2610506.000;1233987.000;de;2008-07-01
Balmberg;4524;02;6549;Balm bei Günsberg;2541;SO;100 %;2609241.331;1235157.312;de;2008-07-01
Oberbalmberg;4524;03;6550;Balm bei Günsberg;2541;SO;100 %;2607575.000;1234844.000;de;2008-07-01
Balm b. Günsberg;4525;00;2729;Balm bei Günsberg;2541;SO;100 %;2608872.000;1233479.000;de;2008-07-01
Zuchwil;4528;00;2742;Zuchwil;2534;SO;98.909 %;2609026.000;1228308.000;de;2008-07-01
Zuchwil;4528;00;2742;Biberist;2513;SO;1.091 %;2609379.915;1227302.197;de;2008-07-01
Feldbrunnen;4532;00;2743;Feldbrunnen-St. Niklaus;2544;SO;95.052 %;2608859.000;1229896.000;de;2008-07-01
Feldbrunnen;4532;00;2743;Rüttenen;2555;SO;4.948 %;2607834.000;1230094.000;de;2008-07-01
Riedholz;4533;00;2744;Riedholz;2554;SO;100 %;2609717.000;1231308.000;de;2008-07-01
Flumenthal;4534;00;2745;Flumenthal;2545;SO;100 %;2612211.000;1231742.000;de;2008-07-01
Hubersdorf;4535;00;2731;Hubersdorf;2548;SO;100 %;2611341.000;1232687.000;de;2008-07-01
Kammersrohr;4535;02;5967;Kammersrohr;2549;SO;100 %;2611761.000;1233858.000;de;2008-07-01
Attiswil;4536;00;2746;Attiswil;971;BE;97.753 %;2613082.000;1233068.000;de;2008-07-01
Attiswil;4536;00;2746;Wangen an der Aare;992;BE;2.247 %;2613821.000;1231404.000;de;2008-07-01
Wiedlisbach;4537;00;2747;Wiedlisbach;995;BE;100 %;2615741.000;1233366.000;de;2008-07-01
Oberbipp;4538;00;2748;Oberbipp;983;BE;100 %;2616871.000;1234407.000;de;2008-07-01
Rumisberg;4539;00;2732;Rumisberg;987;BE;99.005 %;2615372.000;1235033.000;de;2008-07-01
Rumisberg;4539;00;2732;Wiedlisbach;995;BE;0.995 %;2614868.000;1234038.000;de;2008-07-01
Farnern;4539;02;2733;Farnern;975;BE;99.559 %;2613770.000;1235193.000;de;2008-07-01
Farnern;4539;02;2733;Rumisberg;987;BE;0.441 %;2614002.000;1235811.000;de;2008-07-01
Luterbach;4542;00;2840;Luterbach;2527;SO;98.149 %;2610984.000;1229313.000;de;2008-07-01
Luterbach;4542;00;2840;Deitingen;2516;SO;1.851 %;2611492.000;1230593.000;de;2008-07-01
Deitingen;4543;00;2839;Deitingen;2516;SO;98.292 %;2613709.000;1229374.000;de;2008-07-01
Deitingen;4543;00;2839;Flumenthal;2545;SO;1.708 %;2613299.000;1230633.000;de;2008-07-01
Derendingen;4552;00;2749;Derendingen;2517;SO;99.209 %;2611289.000;1227290.000;de;2008-07-01
Derendingen;4552;00;2749;Luterbach;2527;SO;0.791 %;2611065.064;1228250.270;de;2008-07-01
Subingen;4553;00;2750;Subingen;2532;SO;98.982 %;2613261.000;1227172.000;de;2008-07-01
Subingen;4553;00;2750;Derendingen;2517;SO;1.018 %;2612560.000;1226872.000;de;2008-07-01
Etziken;4554;00;2752;Etziken;2518;SO;100 %;2615736.000;1226325.000;de;2008-07-01
Hüniken;4554;02;5963;Hüniken;2524;SO;100 %;2615055.000;1225984.000;de;2008-07-01
Aeschi SO;4556;00;1982;Aeschi (SO);2511;SO;100 %;2616916.000;1225387.000;de;2008-07-01
Bolken;4556;02;5959;Bolken;2514;SO;100 %;2617054.000;1226845.000;de;2008-07-01
Burgäschi;4556;03;5960;Aeschi (SO);2511;SO;97.468 %;2617582.000;1224707.000;de;2008-07-01
Burgäschi;4556;03;5960;Niederönz;982;BE;2.532 %;2617884.000;1224885.000;de;2008-07-01
Steinhof SO;4556;04;5965;Aeschi (SO);2511;SO;100 %;2618819.000;1223438.000;de;2008-07-01
Horriwil;4557;00;2734;Horriwil;2523;SO;100 %;2613859.000;1225758.000;de;2008-07-01
Hersiwil;4558;00;2735;Drei Höfe;2535;SO;100 %;2614882.000;1223868.000;de;2008-07-01
Heinrichswil;4558;02;5962;Drei Höfe;2535;SO;100 %;2615007.000;1223035.000;de;2008-07-01
Winistorf;4558;03;5966;Drei Höfe;2535;SO;100 %;2615947.000;1223028.000;de;2008-07-01
Biberist;4562;00;2754;Biberist;2513;SO;100 %;2609173.000;1225734.000;de;2008-07-01
Gerlafingen;4563;00;2755;Gerlafingen;2519;SO;99.026 %;2610208.000;1224322.000;de;2008-07-01
Gerlafingen;4563;00;2755;Obergerlafingen;2528;SO;0.802 %;2611135.000;1224665.000;de;2008-07-01
Gerlafingen;4563;00;2755;Kriegstetten;2525;SO;0.172 %;2611252.000;1224763.000;de;2008-07-01
Obergerlafingen;4564;00;2756;Obergerlafingen;2528;SO;100 %;2611051.000;1223356.000;de;2008-07-01
Zielebach;4564;01;2757;Zielebach;556;BE;100 %;2610397.000;1223048.000;de;2008-07-01
Recherswil;4565;00;2758;Recherswil;2530;SO;100 %;2611886.000;1223271.000;de;2008-07-01
Kriegstetten;4566;00;2761;Kriegstetten;2525;SO;100 %;2612048.000;1225021.000;de;2008-07-01
Halten;4566;02;5961;Kriegstetten;2525;SO;100 %;2612781.000;1224212.000;de;2008-07-01
Oekingen;4566;03;5964;Kriegstetten;2525;SO;100 %;2612611.000;1225367.000;de;2008-07-01
Lüterkofen;4571;01;6274;Lüterkofen-Ichertswil;2455;SO;100 %;2605554.000;1223564.000;de;2008-07-01
Ichertswil;4571;02;2772;Lüterkofen-Ichertswil;2455;SO;100 %;2604552.000;1223044.000;de;2008-07-01
Lohn-Ammannsegg;4573;00;6362;Lohn-Ammannsegg;2526;SO;97.44 %;2606793.000;1224439.000;de;2008-07-01
Lohn-Ammannsegg;4573;00;6362;Bätterkinden;533;BE;2.56 %;2606772.000;1223207.000;de;2008-07-01
